replicate_name,treatment,sample_fraction,timepoint,experiment_id,Adenine,Adenosine,Adenosine monophosphate,Citrulline,Cytosine,Deoxyadenosine,Guanosine,Homarine,L-Arginine,L-Asparagine,L-Cysteic acid,L-Glutamic acid,L-Homoserine,L-Lysine,L-Phenylalanine,L-Proline,L-Serine,L-Tryptophan,L-Tyrosine,N-Methyl-L-glutamic acid,UDP-N-acetylglucosamine,glutamic_acid_13C_15N,homarine_13C_15N,n-methyl glutamic acid_13C_15N,n-methyl glutamine,n-methyl glutamine_13C_15N,unknown_C6H11NO2_pos,unknown_C6H9NO3_1_neg_13C_15N,unknown_C6H9NO3_2_neg_13C_15N,unknown_C6H9NO4_pos_13C_15N,unknown_C7H11NO3_pos,unknown_C7H9NO5_pos_13C_15N
230717_Smp_G5_Hom1_C_A,Control,Particulate,NA,G51,75969552,16579814,843725,10890255.998069456,23367173.868909024,2625927,374821.27587427065,208495488,12504497.37088219,2342609.348046447,92008,92031571.942135185,NA,1879601.8259886808,7502581.535151048,72004368,16029762.585244616,618797.6037222642,6508001.163734353,NA,76500,NA,8490910,NA,2131353.6065439023,NA,672406,NA,NA,NA,2730906,NA
230717_Smp_G5_Hom1_C_B,Control,Particulate,NA,G51,58054948,11331508,95074,4061218.6195107894,17685487.377406508,2242644,NA,130643480,5654314.497178987,1058529.4970714725,NA,47847674.91701757,648702,617909.306155075,4171544.13146546,31657768,5817507.838664903,222174.3759653022,3422531.2614768064,3377599.8382051447,NA,NA,NA,NA,1854924.234242285,NA,494229,NA,NA,NA,NA,NA
230717_Smp_G5_Hom1_C_C,Control,Particulate,NA,G51,72935576,30318792,634077,2448875.7325545345,25825026.560319103,2901479,412392.6191137845,197218192,7106702.117211912,1070323.8051626557,73568,74923560.05762722,NA,819202.0465320154,3657284.3773262817,23761170,2633200.926584838,379429.916628636,2571849.161581053,NA,56746,NA,NA,NA,881129.4125047832,NA,1001747,NA,NA,NA,3074404,NA
230717_Smp_G5_Hom1_T0_A,Homarine,Particulate,0,G51,72835368,34007684,896386,2699737.8187809815,25643445.626665454,3735314,576208.6937698805,200439664,6325533.453047912,1064271.9062123888,96096,79251545.46565369,1467621,667465.3779270726,3932408.449727028,26227040,2280803.910480305,520927.4403730378,3025459.1425071037,NA,NA,693218.0667556707,114934216,450684,901069.1053813124,NA,873094,NA,NA,NA,4423709,NA
230717_Smp_G5_Hom1_T0_B,Homarine,Particulate,0,G51,95571520,17672732,957616,2223985.2827966614,29038373.25383534,3503176,278821.45654401067,181948928,6394916.923459964,1178275.5643950729,158694,84532724.19982365,NA,747440.1508430511,2524225.806560132,20956846,1881704.0056291996,278251.42742524354,2391457.1922684964,NA,47112,891934.7453404001,125538288,550037,761575.8742969367,NA,1096894,NA,NA,NA,3320580,NA
230717_Smp_G5_Hom1_T0_C,Homarine,Particulate,0,G51,85787464,35513008,532492,1737272.0633647975,28691878.75409841,4394895,255538.76610621868,196602688,5595170.398034129,1081383.8645884588,NA,64605986.91543216,893974,404861.3321892897,3783600.5285951057,21635050,1775945.6207405955,502742.6406910945,2992643.6688051755,1975610.899049929,NA,486874.8062084944,105662200,482118,756595.0242783475,NA,651909,NA,NA,NA,NA,NA
230717_Smp_G5_Hom1_T6_A,Homarine,Particulate,6,G51,51598152,49469604,490400,5463346.083470218,19620505.913302515,8031465,423200.2274116613,191311904,9419173.064775106,1524351.1058428248,NA,90354053.77344067,991430,1093348.219899853,5882019.842802915,41419884,8531361.40006073,760923.4772978958,3617118.399132276,1919147.881608667,NA,16593746.975992778,951118912,1955778,1467494.2921554644,515226,520223,NA,NA,NA,NA,NA
230717_Smp_G5_Hom1_T6_B,Homarine,Particulate,6,G51,44702060,18052174,1111394,4741546.5491910735,12268886.787259027,3263935,349093.78137108334,188089824,12378216.065018823,1901176.7134109377,41170,104712981.13025856,NA,1422338.123170551,2634337.2376364567,32918458,4366048.051715473,370327.5397726021,2773332.529471371,NA,147195,17213664.93198431,572529664,2425342,573867.2211779685,381998,1140274,NA,NA,NA,5558574,NA
230717_Smp_G5_Hom1_T6_C,Homarine,Particulate,6,G51,41916612,23744524,407081,5426974.328119128,13098435.073780917,3374842,188076.2431150264,163952720,7017006.583943017,1292315.0929014173,NA,84417639.08388211,NA,908657.245522956,4183063.501886979,32905430,6686852.994427276,466220.44124329934,2918053.7051675213,1698651.1690068697,NA,15754561.320171386,727581504,1940601,1304679.8990094173,377245,462597,NA,NA,NA,2499007,NA
230717_Smp_G5_Hom1_T12_A,Homarine,Particulate,12,G51,60690092,27342840,664149,18170367.435176853,19739093.332116365,4834324,554974.3576993648,175571952,15198928.50615248,3610295.7778552305,158853,97202029.43026446,NA,2680413.006507995,5955519.036399707,75025440,20757962.55650442,706922.7631506505,6077538.227558442,NA,53507,10244854.296276487,893356288,3021542,1797313.8555936408,334890,676116,43441.10979131807,NA,NA,5154246,32575.836638919653
