mass_feature,core_metab,sample_fraction,experiment_id,timepoint,enrich_h_fc,ttest_p_h,p_value_mannwhitney_h
Adenine,Adenosine,Particulate,G51,0,0.8228265699909468,0.6220642680892587,1
Adenine,Adenosine,Particulate,G51,6,0.43634853262562423,0.09337269056091217,0.2
Adenine,Adenosine,Particulate,G51,12,0.772879900088723,0.4031282642542037,0.4
Adenine,Adenosine,Particulate,G51,24,1.1322974516625914,0.7552905845832429,1
Adenine,Adenosine,Particulate,G51,48,0.8093685663232422,0.5060073293923528,0.4
Adenine,Adenosine,Particulate,G51,96,0.29228961295131317,0.074871981423423,0.1
Adenine,Adenosine,Particulate,G52,0,1.149645506479959,0.2884494986883489,0.4
Adenine,Adenosine,Particulate,G52,6,1.2398734939254115,0.19888094279108878,0.2
Adenine,Adenosine,Particulate,G52,12,1.4199224942300406,0.3988887664984773,0.4
Adenine,Adenosine,Particulate,G52,24,1.6140173175782488,0.20604793491893345,0.2
Adenine,Adenosine,Particulate,G52,48,1.2947135313707419,0.5342882524047822,0.7
Adenine,Adenosine,Particulate,G52,96,1.3818545367825457,0.3119194949395576,0.7
Adenine,Citrulline,Particulate,G51,0,2.3373670833103675,0.07398130332211897,0.2
Adenine,Citrulline,Particulate,G51,6,0.520935240188684,0.3489264410472774,0.7
Adenine,Citrulline,Particulate,G51,12,0.9856425725122498,0.9807962317753434,1
Adenine,Citrulline,Particulate,G51,24,1.656215593095436,0.3077826981698886,0.4
Adenine,Citrulline,Particulate,G51,48,0.9441296322274281,0.9283721379139973,1
Adenine,Citrulline,Particulate,G51,96,1.9944405260331024,0.18073836130085089,0.2
Adenine,Citrulline,Particulate,G52,0,1.3090269331476094,0.4443281204140671,1
Adenine,Citrulline,Particulate,G52,6,0.44770527261562437,0.222022306706137,0.4
Adenine,Citrulline,Particulate,G52,12,0.5572142791274229,0.299631919469821,0.7
Adenine,Citrulline,Particulate,G52,24,1.0330653784588772,0.9323378776127034,1
Adenine,Citrulline,Particulate,G52,48,0.8061871371402339,0.6188298406156135,0.7
Adenine,Citrulline,Particulate,G52,96,0.45595200330272845,0.22690873074001175,0.4
Adenine,Cytosine,Particulate,G51,0,0.9747281488050417,0.7118877645478251,1
Adenine,Cytosine,Particulate,G51,6,1.0123408831407483,0.9142358398626294,1
Adenine,Cytosine,Particulate,G51,12,0.9637150102686829,0.7023754411262415,1
Adenine,Cytosine,Particulate,G51,24,0.9056666295549427,0.2081223642965298,0.4
Adenine,Cytosine,Particulate,G51,48,0.8046343497447064,0.04321294130304621,0.1
Adenine,Cytosine,Particulate,G51,96,1.1409263656051598,0.4501139723592889,1
Adenine,Cytosine,Particulate,G52,0,0.6670414757620156,0.0218107076971616,0.1
Adenine,Cytosine,Particulate,G52,6,0.6670429969749719,0.017424153226432808,0.1
Adenine,Cytosine,Particulate,G52,12,0.8294781885594776,0.13444493778245406,0.4
Adenine,Cytosine,Particulate,G52,24,0.7406115010129863,0.04707437824690606,0.1
Adenine,Cytosine,Particulate,G52,48,1.0295649735185994,0.9445676417317765,0.7
Adenine,Cytosine,Particulate,G52,96,1.0060971863221713,0.9460142582475681,1
Adenine,Deoxyadenosine,Particulate,G51,0,0.829222759840759,0.2145445984138402,0.4
Adenine,Deoxyadenosine,Particulate,G51,6,0.40698727009668534,0.008225328813994496,0.1
Adenine,Deoxyadenosine,Particulate,G51,12,0.5519374146621422,0.0019253107400829927,0.1
Adenine,Deoxyadenosine,Particulate,G51,24,0.6419640290471016,0.09832300425405789,0.1
Adenine,Deoxyadenosine,Particulate,G51,48,0.7074732318581736,0.019954769225149875,0.1
Adenine,Deoxyadenosine,Particulate,G51,96,0.2690632772123066,0.00934102540907835,0.1
Adenine,Deoxyadenosine,Particulate,G52,0,1.024909547259465,0.9048078841829772,0.7
Adenine,Deoxyadenosine,Particulate,G52,6,1.1113713064569137,0.6580458005993917,0.4
Adenine,Deoxyadenosine,Particulate,G52,12,0.8617820487323059,0.6556339771951749,0.4
Adenine,Deoxyadenosine,Particulate,G52,24,0.7543591910738723,0.3418045683821985,0.4
Adenine,Deoxyadenosine,Particulate,G52,48,0.948416514499664,0.8961213728378767,1
Adenine,Deoxyadenosine,Particulate,G52,96,1.44800065798195,0.37054099819936626,0.4
Adenine,L-Arginine,Particulate,G51,0,1.570786289344897,0.0532191075537458,0.1
Adenine,L-Arginine,Particulate,G51,6,0.56615415601956,0.09199192474957392,0.1
Adenine,L-Arginine,Particulate,G51,12,0.7815245497798046,0.47756967231086017,0.7
Adenine,L-Arginine,Particulate,G51,24,1.1976504582512897,0.554274700911977,1
Adenine,L-Arginine,Particulate,G51,48,0.5610636161012774,0.10500213416516882,0.2
Adenine,L-Arginine,Particulate,G51,96,0.30035518553739327,0.046016380019936035,0.1
Adenine,L-Arginine,Particulate,G52,0,1.0420239823408246,0.8635712183867397,1
Adenine,L-Arginine,Particulate,G52,6,0.7186239455351379,0.24278016638919947,0.4
Adenine,L-Arginine,Particulate,G52,12,0.7939970326246849,0.41506482120125415,0.4
Adenine,L-Arginine,Particulate,G52,24,0.9632583224905737,0.8639274677243917,1
Adenine,L-Arginine,Particulate,G52,48,0.7304173122737267,0.45400334973833034,0.4
Adenine,L-Arginine,Particulate,G52,96,0.2734477992542929,0.03128402142337675,0.1
Adenine,L-Glutamic acid,Particulate,G51,0,1.1212425234300982,0.4977507343705716,0.7
Adenine,L-Glutamic acid,Particulate,G51,6,0.49613971635941223,0.03409991948253918,0.1
Adenine,L-Glutamic acid,Particulate,G51,12,0.9319016073911954,0.8165423182678118,0.7
Adenine,L-Glutamic acid,Particulate,G51,24,1.3649513078455298,0.25232740770650985,0.2
Adenine,L-Glutamic acid,Particulate,G51,48,1.137239967919696,0.41723540432384015,0.4
Adenine,L-Glutamic acid,Particulate,G51,96,0.902380821890581,0.6131570316658228,0.7
Adenine,L-Glutamic acid,Particulate,G52,0,1.2053847746132555,0.34639248539257617,0.4
Adenine,L-Glutamic acid,Particulate,G52,6,0.7986101768922327,0.328951626080972,0.4
Adenine,L-Glutamic acid,Particulate,G52,12,0.9891007862147755,0.9673601455650389,1
Adenine,L-Glutamic acid,Particulate,G52,24,1.0712973204706184,0.6658140128025334,0.7
Adenine,L-Glutamic acid,Particulate,G52,48,1.0279413157287178,0.9391664515638627,0.7
Adenine,L-Glutamic acid,Particulate,G52,96,0.45497402631879624,0.04086720891397495,0.1
Adenine,L-Lysine,Particulate,G51,0,2.009276875874185,0.12522452664952027,0.1
Adenine,L-Lysine,Particulate,G51,6,0.5584122703069335,0.18704971299730988,0.4
Adenine,L-Lysine,Particulate,G51,12,0.8675166778662287,0.7381922773499225,0.7
Adenine,L-Lysine,Particulate,G51,24,1.32217665271431,0.5486899805549044,1
Adenine,L-Lysine,Particulate,G51,48,0.6344956261680547,0.31916287051383013,0.2
Adenine,L-Lysine,Particulate,G51,96,0.3986422341393709,0.1197631213266275,0.1
Adenine,L-Lysine,Particulate,G52,0,1.0767816497289038,0.7441652566886681,1
Adenine,L-Lysine,Particulate,G52,6,0.5096409767163242,0.037509325281653384,0.1
Adenine,L-Lysine,Particulate,G52,12,0.542881162351394,0.06432689686370487,0.2
Adenine,L-Lysine,Particulate,G52,24,0.8164112857031358,0.2856336569830134,0.4
Adenine,L-Lysine,Particulate,G52,48,0.6583661191652161,0.27086310119133933,0.4
Adenine,L-Lysine,Particulate,G52,96,0.21086942707531414,0.01838636755110968,0.1
Adenine,L-Proline,Particulate,G51,0,1.8969293665843345,0.0870648752593346,0.2
Adenine,L-Proline,Particulate,G51,6,0.6507671771990607,0.3584292018450224,0.7
Adenine,L-Proline,Particulate,G51,12,0.8591053268342349,0.7252730120585362,1
Adenine,L-Proline,Particulate,G51,24,1.4018034910830355,0.32808175935979533,0.4
Adenine,L-Proline,Particulate,G51,48,0.6445429797170867,0.3760316247326886,0.7
Adenine,L-Proline,Particulate,G51,96,1.0878507999884126,0.8305981296423497,1
Adenine,L-Proline,Particulate,G52,0,1.1683857729935785,0.3411610736876272,0.7
Adenine,L-Proline,Particulate,G52,6,0.657899127209245,0.1343788840671206,0.2
Adenine,L-Proline,Particulate,G52,12,0.6249737658722445,0.06496707539214906,0.1
Adenine,L-Proline,Particulate,G52,24,0.8724459302528255,0.5201198616709093,0.7
Adenine,L-Proline,Particulate,G52,48,0.7281289804036417,0.39308666260068115,0.7
Adenine,L-Proline,Particulate,G52,96,0.41604385910890745,0.019958143978546755,0.1
Adenine,L-Serine,Particulate,G51,0,3.08906679798361,0.03291883491835136,0.1
Adenine,L-Serine,Particulate,G51,6,0.5317464451473192,0.4422652725385672,1
Adenine,L-Serine,Particulate,G51,12,1.01416363849704,0.9834146569903022,1
Adenine,L-Serine,Particulate,G51,24,1.2922485763791685,0.6255146112676213,0.7
Adenine,L-Serine,Particulate,G51,48,0.7176405720063532,0.673468208830752,0.7
Adenine,L-Serine,Particulate,G51,96,1.6877373412895689,0.29452393935746585,0.7
Adenine,L-Serine,Particulate,G52,0,1.394257180731183,0.3534632247750525,1
